claim_amount,policy_tenure_months,premium_to_claim_ratio,previous_claims_count,previous_fraud_flag,incident_severity,hospitalization_required,police_report_filed,document_count,claim_submission_delay_days,claimant_age,claimant_gender,claimant_location,fraud_label
93100.77,24,1.72,0,0,low,0,1,6,53,45,male,Pune,1
53226.53,5,1.38,4,0,high,0,1,1,43,48,female,Chennai,1
103173.15,76,0.39,2,1,low,1,0,0,10,49,female,Bengaluru,0
83986.8,82,1.51,5,1,low,0,1,3,5,60,female,Mumbai,1
12207.1,93,0.73,7,0,medium,0,0,5,8,62,female,Hyderabad,1
117099.06,115,0.29,3,1,high,1,1,1,37,46,male,Bengaluru,1
91575.62,60,1.6,5,0,low,0,0,7,43,40,female,Chennai,1
94541.65,100,1.84,4,0,high,0,1,5,48,20,male,Chennai,1
16245.52,86,1.87,7,0,low,0,1,7,6,67,male,Mumbai,1
54595.93,34,1.9,1,1,medium,0,1,3,16,32,female,Bengaluru,1
45124.96,102,0.15,1,1,medium,0,1,0,20,45,female,Bengaluru,1
111285.03,7,0.55,3,0,low,1,1,1,38,80,female,Delhi,1
77619.95,72,2.88,5,0,medium,0,1,4,2,67,female,Bengaluru,0
98908.63,113,0.77,6,0,medium,0,0,4,51,39,male,Delhi,1
53766.29,80,1.93,2,0,medium,0,1,5,4,47,female,Pune,1
28041.41,113,1.02,0,0,low,0,1,6,31,38,male,Pune,1
66995.59,7,1.56,4,0,low,0,1,6,56,57,female,Delhi,1
8594.25,64,1.06,4,0,high,1,1,4,11,27,female,Hyderabad,0
99488.11,94,1.89,2,0,medium,0,1,0,41,78,female,Mumbai,0
76168.06,78,1.6,1,0,high,0,1,4,33,80,female,Bengaluru,0
91212.44,106,1.19,6,0,medium,0,0,6,50,36,female,Pune,1
43188.59,56,0.76,6,1,high,0,1,6,35,32,female,Bengaluru,0
116513.06,82,1.69,5,0,low,0,0,6,51,51,female,Mumbai,1
107281.41,51,0.65,4,0,medium,1,1,0,24,58,male,Delhi,1
93627.64,105,1.8,2,0,medium,0,1,3,10,58,female,Chennai,0
24162.01,15,3.34,3,1,low,1,1,4,41,20,male,Delhi,1
56539.8,31,2.45,0,0,low,1,0,1,59,62,female,Hyderabad,1
6212.65,12,2.0,1,0,medium,0,1,3,26,22,female,Pune,1
19360.45,85,1.44,3,0,high,0,1,0,50,39,female,Pune,0
82282.83,28,0.14,3,0,medium,1,1,1,53,63,female,Mumbai,1
89626.7,39,0.57,0,0,low,1,1,0,39,73,female,Mumbai,1
116133.66,101,2.4,7,0,high,0,1,7,48,58,female,Delhi,1
39773.22,44,0.95,2,0,low,0,1,6,34,28,male,Hyderabad,1
45084.71,18,1.01,4,0,low,0,0,3,49,60,male,Mumbai,0
56877.14,3,1.38,3,1,high,1,1,0,20,20,male,Delhi,1
23547.09,28,0.76,3,1,medium,1,1,2,32,32,female,Pune,1
16460.66,110,0.64,6,0,high,1,1,3,4,25,female,Chennai,1
57608.89,66,1.46,5,0,high,0,0,1,11,80,female,Bengaluru,1
28002.21,120,0.88,6,0,medium,0,1,5,35,41,male,Pune,1
80707.87,26,0.98,3,1,low,1,1,7,44,53,male,Delhi,1
53021.08,43,0.95,2,0,low,0,1,6,1,67,female,Mumbai,0
100088.71,20,1.87,3,0,high,1,0,6,4,79,female,Delhi,0
